Date,Sensor Glucose (mmol/L),
09/02/2022 14:42,10,
09/02/2022 14:47,10.4,
09/02/2022 14:52,11.3,
09/02/2022 14:57,11.9,
09/02/2022 15:02,12.2,
09/02/2022 15:07,12.5,
09/02/2022 15:12,12.8,
09/02/2022 15:17,12.7,
09/02/2022 15:22,12.8,
09/02/2022 15:27,13.1,
09/02/2022 15:32,13.7,
09/02/2022 15:37,14.1,
09/02/2022 15:42,14.5,
09/02/2022 15:47,14.9,
09/02/2022 15:52,15.4,
09/02/2022 15:57,15.5,
09/02/2022 16:02,15.2,
09/02/2022 16:07,14.7,
09/02/2022 16:12,14.5,
09/02/2022 16:17,14.2,
09/02/2022 16:22,13.5,
09/02/2022 16:27,13.3,
09/02/2022 16:32,13.1,
09/02/2022 16:37,12.7,
09/02/2022 16:42,12.3,
09/02/2022 16:47,12.3,
09/02/2022 16:52,12,
09/02/2022 16:57,11.7,
09/02/2022 17:02,11.2,
09/02/2022 17:07,11,
09/02/2022 17:12,11.2,
09/02/2022 17:17,11.6,
09/02/2022 17:22,12,
09/02/2022 17:27,12.4,
09/02/2022 17:32,12.9,
09/02/2022 17:37,13,
09/02/2022 17:42,12.9,
09/02/2022 17:47,12.9,
09/02/2022 17:52,12.7,
09/02/2022 17:57,12.3,
09/02/2022 18:02,12,
09/02/2022 18:07,11.6,
09/02/2022 18:12,11.2,
09/02/2022 18:12,11.3,
09/02/2022 18:17,11.1,
09/02/2022 18:27,10.9,
09/02/2022 18:32,11.1,
09/02/2022 18:37,11.4,
09/02/2022 18:42,12.1,
09/02/2022 18:47,12.9,
09/02/2022 18:52,13.3,
09/02/2022 18:57,13.8,
09/02/2022 19:02,14.5,
09/02/2022 19:07,14.9,
09/02/2022 19:12,15.4,
09/02/2022 19:17,15.8,
09/02/2022 19:22,16.2,
09/02/2022 19:27,15.1,
09/02/2022 19:32,15.3,
09/02/2022 19:37,14.3,
09/02/2022 19:42,13.7,
09/02/2022 19:47,13.4,
09/02/2022 19:52,12.9,
09/02/2022 20:22,12.4,
09/02/2022 20:27,11.9,
09/02/2022 20:42,11.4,
09/02/2022 20:47,10.7,
09/02/2022 20:52,9.7,
09/02/2022 20:57,9.5,
09/02/2022 21:02,9.1,
09/02/2022 21:07,9.3,
09/02/2022 21:12,9.5,
09/02/2022 21:17,9.4,
09/02/2022 21:22,9,
09/02/2022 21:27,8.5,
09/02/2022 21:32,8.8,
09/02/2022 21:37,9.2,
09/02/2022 21:42,9.8,
09/02/2022 21:47,10.6,
09/02/2022 21:52,11,
09/02/2022 21:57,11.3,
09/02/2022 22:02,11.6,
09/02/2022 22:07,11.8,
09/02/2022 22:12,11.8,
09/02/2022 22:17,11.8,
09/02/2022 22:22,12,
09/02/2022 22:27,11.9,
09/02/2022 22:32,11.5,
09/02/2022 22:37,11.2,
09/02/2022 22:42,10.9,
09/02/2022 22:47,10.8,
09/02/2022 22:52,10.8,
09/02/2022 22:57,10.7,
